SA2 - Residence,SA2 - Place of Work,Count
Smithfield - Wetherill Park,Erskineville - Alexandria,22
St Johns Park - Wakeley,Erskineville - Alexandria,14
Casula,Erskineville - Alexandria,44
Chipping Norton - Moorebank,Erskineville - Alexandria,59
Holsworthy - Wattle Grove,Erskineville - Alexandria,95
Liverpool - Warwick Farm,Erskineville - Alexandria,56
Prestons - Lurnea,Erskineville - Alexandria,86
Caringbah - Lilli Pilli,Erskineville - Alexandria,162
Cronulla - Kurnell - Bundeena,Erskineville - Alexandria,195
Gymea - Grays Point,Erskineville - Alexandria,132
Miranda - Yowie Bay,Erskineville - Alexandria,117
Sylvania - Taren Point,Erskineville - Alexandria,102
Engadine - Loftus,Erskineville - Alexandria,175
Heathcote - Waterfall,Erskineville - Alexandria,39
Illawong - Alfords Point,Erskineville - Alexandria,45
Menai - Lucas Heights - Woronora,Erskineville - Alexandria,126
Oyster Bay - Como - Jannali,Erskineville - Alexandria,128
Sutherland - Kirrawee,Erskineville - Alexandria,139
No Usual Address (NSW),Erskineville - Alexandria,20
Box Head - MacMasters Beach,Glebe - Forest Lodge,7
Erina - Green Point,Glebe - Forest Lodge,4
Gosford - Springfield,Glebe - Forest Lodge,8
Niagara Park - Lisarow,Glebe - Forest Lodge,4
Point Clare - Koolewong,Glebe - Forest Lodge,3
Terrigal - North Avoca,Glebe - Forest Lodge,4
Umina - Booker Bay - Patonga,Glebe - Forest Lodge,8
Wamberal - Forresters Beach,Glebe - Forest Lodge,3
Woy Woy - Blackwall,Glebe - Forest Lodge,3
Wyoming,Glebe - Forest Lodge,4
Bateau Bay - Killarney Vale,Glebe - Forest Lodge,4
Tuggerah - Kangy Angy,Glebe - Forest Lodge,3
Wyong,Glebe - Forest Lodge,3
Coonabarabran,Glebe - Forest Lodge,3
Dapto - Avondale,Glebe - Forest Lodge,4
Kiama Hinterland - Gerringong,Glebe - Forest Lodge,3
Warilla,Glebe - Forest Lodge,3
Corrimal - Tarrawanna - Bellambi,Glebe - Forest Lodge,3
Figtree - Keiraville,Glebe - Forest Lodge,3
Helensburgh,Glebe - Forest Lodge,7
Thirroul - Austinmer - Coalcliff,Glebe - Forest Lodge,6
Wollongong,Glebe - Forest Lodge,3
Woonona - Bulli - Russell Vale,Glebe - Forest Lodge,3
Bonnells Bay - Silverwater,Glebe - Forest Lodge,3
Toronto - Awaba,Glebe - Forest Lodge,3
Byron Bay,Glebe - Forest Lodge,3
Robertson - Fitzroy Falls,Glebe - Forest Lodge,4
Baulkham Hills (East),Glebe - Forest Lodge,16
Baulkham Hills (West) - Bella Vista,Glebe - Forest Lodge,8
Castle Hill,Glebe - Forest Lodge,10
Cherrybrook,Glebe - Forest Lodge,21
Glenhaven,Glebe - Forest Lodge,3
Kellyville,Glebe - Forest Lodge,12
Dural - Kenthurst - Wisemans Ferry,Glebe - Forest Lodge,8
Galston - Laughtondale,Glebe - Forest Lodge,3
Kurrajong Heights - Ebenezer,Glebe - Forest Lodge,8
Pitt Town - McGraths Hill,Glebe - Forest Lodge,5
Rouse Hill - Beaumont Hills,Glebe - Forest Lodge,4
Blacktown (East) - Kings Park,Glebe - Forest Lodge,9
Blacktown (North) - Marayong,Glebe - Forest Lodge,9
Blacktown (South),Glebe - Forest Lodge,19
Doonside - Woodcroft,Glebe - Forest Lodge,10
Lalor Park - Kings Langley,Glebe - Forest Lodge,13
Seven Hills - Toongabbie,Glebe - Forest Lodge,12
Glenwood,Glebe - Forest Lodge,8
Parklea - Kellyville Ridge,Glebe - Forest Lodge,11
Quakers Hill - Acacia Gardens,Glebe - Forest Lodge,19
Riverstone - Marsden Park,Glebe - Forest Lodge,3
Glendenning Dean Park,Glebe - Forest Lodge,5
Hassall Grove - Plumpton,Glebe - Forest Lodge,8
Lethbridge Park - Tregear,Glebe - Forest Lodge,4
Mount Druitt - Whalan,Glebe - Forest Lodge,6
Rooty Hill - Minchinbury,Glebe - Forest Lodge,9
Botany,Glebe - Forest Lodge,17
Mascot - Eastlakes,Glebe - Forest Lodge,32
Pagewood - Hillsdale - Daceyville,Glebe - Forest Lodge,19
Marrickville,Glebe - Forest Lodge,126
Petersham - Stanmore,Glebe - Forest Lodge,139
Sydenham - Tempe - St Peters,Glebe - Forest Lodge,32
Darlinghurst,Glebe - Forest Lodge,20
Erskineville - Alexandria,Glebe - Forest Lodge,83
Glebe - Forest Lodge,Glebe - Forest Lodge,966
Newtown - Camperdown - Darlington,Glebe - Forest Lodge,187
Potts Point - Woolloomooloo,Glebe - Forest Lodge,46
Pyrmont - Ultimo,Glebe - Forest Lodge,131
Redfern - Chippendale,Glebe - Forest Lodge,100
Surry Hills,Glebe - Forest Lodge,59
Sydney - Haymarket - The Rocks,Glebe - Forest Lodge,59
Waterloo - Beaconsfield,Glebe - Forest Lodge,56
Bondi - Tamarama - Bronte,Glebe - Forest Lodge,33
Bondi Beach - North Bondi,Glebe - Forest Lodge,37
Bondi Junction - Waverly,Glebe - Forest Lodge,32
Double Bay - Bellevue Hill,Glebe - Forest Lodge,27
Dover Heights,Glebe - Forest Lodge,11
Paddington - Moore Park,Glebe - Forest Lodge,35
Rose Bay - Vaucluse - Watsons Bay,Glebe - Forest Lodge,14
Woollahra,Glebe - Forest Lodge,16
Coogee - Clovelly,Glebe - Forest Lodge,58
Kensington - Kingsford,Glebe - Forest Lodge,55
Malabar - La Perouse - Chifley,Glebe - Forest Lodge,23
Maroubra,Glebe - Forest Lodge,56
Randwick,Glebe - Forest Lodge,52
Bankstown,Glebe - Forest Lodge,22
Bass Hill - Georges Hall,Glebe - Forest Lodge,13
Condell Park,Glebe - Forest Lodge,9
Greenacre - Mount Lewis,Glebe - Forest Lodge,10
Padstow,Glebe - Forest Lodge,22
Panania - Milperra - Picnic Point,Glebe - Forest Lodge,23
Revesby,Glebe - Forest Lodge,18
Yagoona - Birrong,Glebe - Forest Lodge,18
Belmore - Belfield,Glebe - Forest Lodge,30
Canterbury (South) - Campsie,Glebe - Forest Lodge,56
Kingsgrove (North) - Earlwood,Glebe - Forest Lodge,50
Lakemba - Wiley Park,Glebe - Forest Lodge,32
Punchbowl,Glebe - Forest Lodge,11
Roselands,Glebe - Forest Lodge,31
Hurstville,Glebe - Forest Lodge,23
Mortdale - Penshurst,Glebe - Forest Lodge,34
Narwee - Beverly Hills,Glebe - Forest Lodge,18
Oatley - Hurstville Grove,Glebe - Forest Lodge,18
Peakhurst - Lugarno,Glebe - Forest Lodge,20
Riverwood,Glebe - Forest Lodge,7
South Hurstville - Blakehurst,Glebe - Forest Lodge,28
Arncliffe - Bardwell Valley,Glebe - Forest Lodge,34
Bexley,Glebe - Forest Lodge,46
Kingsgrove (South) - Bardwell Park,Glebe - Forest Lodge,13
Kogarah,Glebe - Forest Lodge,10
Kogarah Bay - Carlton - Allawah,Glebe - Forest Lodge,23
Monterey - Brighton-le-Sands - Kyeemagh,Glebe - Forest Lodge,17
Rockdale - Banksia,Glebe - Forest Lodge,36
Sans Souci - Ramsgate,Glebe - Forest Lodge,18
Concord - Mortlake - Cabarita,Glebe - Forest Lodge,42
Concord West - North Strathfield,Glebe - Forest Lodge,21
Drummoyne - Rodd Point,Glebe - Forest Lodge,71
Five Dock - Abbotsford,Glebe - Forest Lodge,66
Balmain,Glebe - Forest Lodge,77
Leichhardt - Annandale,Glebe - Forest Lodge,204
Lilyfield - Rozelle,Glebe - Forest Lodge,55
Ashfield,Glebe - Forest Lodge,84
Burwood - Croydon,Glebe - Forest Lodge,42
Canterbury (North) - Ashbury,Glebe - Forest Lodge,23
Croydon Park - Enfield,Glebe - Forest Lodge,50
Dulwich Hill - Lewisham,Glebe - Forest Lodge,86
Haberfield - Summer Hill,Glebe - Forest Lodge,71
Homebush,Glebe - Forest Lodge,11
Strathfield,Glebe - Forest Lodge,54
Chatswood (East) - Artarmon,Glebe - Forest Lodge,32
Chatswood (West) - Lane Cove North,Glebe - Forest Lodge,20
Lane Cove - Greenwich,Glebe - Forest Lodge,28
St Leonards - Naremburn,Glebe - Forest Lodge,9
Willoughby - Castle Cove - Northbridge,Glebe - Forest Lodge,28
Asquith - Mount Colah,Glebe - Forest Lodge,5
Berowra - Brooklyn - Cowan,Glebe - Forest Lodge,12
Hornsby - Waitara,Glebe - Forest Lodge,16
Normanhurst - Thornleigh - Westleigh,Glebe - Forest Lodge,7
Gordon - Killara,Glebe - Forest Lodge,14
Lindfield - Roseville,Glebe - Forest Lodge,12
Pymble,Glebe - Forest Lodge,12
St Ives,Glebe - Forest Lodge,17
Turramurra,Glebe - Forest Lodge,10
Wahroonga - Warrawee,Glebe - Forest Lodge,8
Cremorne - Cammeray,Glebe - Forest Lodge,22
Crows Nest - Waverton,Glebe - Forest Lodge,23
Mosman,Glebe - Forest Lodge,38
Neutral Bay - Kirribilli,Glebe - Forest Lodge,18
North Sydney - Lavender Bay,Glebe - Forest Lodge,7
Balgowlah - Clontarf - Seaforth,Glebe - Forest Lodge,14
Manly - Fairlight,Glebe - Forest Lodge,24
Avalon - Palm Beach,Glebe - Forest Lodge,3
Bayview - Elanora Heights,Glebe - Forest Lodge,5
Newport - Bilgola,Glebe - Forest Lodge,10
Warriewood - Mona Vale,Glebe - Forest Lodge,14
Beacon Hill - Narraweena,Glebe - Forest Lodge,11
Cromer,Glebe - Forest Lodge,8
Dee Why - North Curl Curl,Glebe - Forest Lodge,5
Forestville - Killarney Heights,Glebe - Forest Lodge,6
Frenchs Forest - Belrose,Glebe - Forest Lodge,14
Freshwater - Brookvale,Glebe - Forest Lodge,25
Manly Vale - Allambie Heights,Glebe - Forest Lodge,10
Narrabeen - Collaroy,Glebe - Forest Lodge,11
Camden - Ellis Lane,Glebe - Forest Lodge,6
Elderslie - Harrington Park,Glebe - Forest Lodge,5
Mount Annan - Currans Hill,Glebe - Forest Lodge,8
Bradbury - Wedderburn,Glebe - Forest Lodge,11
Campbelltown - Woodbine,Glebe - Forest Lodge,9
Claymore - Eagle Vale - Raby,Glebe - Forest Lodge,3
Ingleburn - Denham Court,Glebe - Forest Lodge,6
Leumeah - Minto Heights,Glebe - Forest Lodge,4
Macquarie Fields - Glenfield,Glebe - Forest Lodge,12
Minto - St Andrews,Glebe - Forest Lodge,11
Rosemeadow - Glen Alpine,Glebe - Forest Lodge,16
The Oaks - Oakdale,Glebe - Forest Lodge,4
Blackheath - Megalong Valley,Glebe - Forest Lodge,4
Blaxland - Warrimoo - Lapstone,Glebe - Forest Lodge,12
Katoomba - Leura,Glebe - Forest Lodge,8
Lawson - Hazelbrook - Linden,Glebe - Forest Lodge,6
Springwood - Winmalee,Glebe - Forest Lodge,10
Cambridge Park,Glebe - Forest Lodge,7
Castlereagh - Cranebrook,Glebe - Forest Lodge,9
Glenmore Park - Regentville,Glebe - Forest Lodge,3
Jamisontown - South Penrith,Glebe - Forest Lodge,5
Kingswood - Werrington,Glebe - Forest Lodge,8
Penrith,Glebe - Forest Lodge,3
Warragamba - Silverdale,Glebe - Forest Lodge,3
Richmond - Clarendon,Glebe - Forest Lodge,5
St Clair,Glebe - Forest Lodge,4
St Marys - Colyton,Glebe - Forest Lodge,11
Auburn,Glebe - Forest Lodge,26
Homebush Bay - Silverwater,Glebe - Forest Lodge,20
Lidcombe - Regents Park,Glebe - Forest Lodge,30
Carlingford,Glebe - Forest Lodge,12
Ermington - Rydalmere,Glebe - Forest Lodge,33
Oatlands - Dundas Valley,Glebe - Forest Lodge,14
Chester Hill - Sefton,Glebe - Forest Lodge,13
Fairfield - East,Glebe - Forest Lodge,8
Granville - Clyde,Glebe - Forest Lodge,16
Greystanes - Pemulwuy,Glebe - Forest Lodge,13
Guildford - South Granville,Glebe - Forest Lodge,5
Guildford West - Merrylands West,Glebe - Forest Lodge,5
Merrylands - Holroyd,Glebe - Forest Lodge,11
Girraween - Westmead,Glebe - Forest Lodge,11
North Parramatta,Glebe - Forest Lodge,22
North Rocks,Glebe - Forest Lodge,3
Northmead,Glebe - Forest Lodge,10
Parramatta - Rosehill,Glebe - Forest Lodge,22
Toongabbie - Constitution Hill,Glebe - Forest Lodge,14
Winston Hills,Glebe - Forest Lodge,4
Epping - North Epping,Glebe - Forest Lodge,13
Pennant Hills - Cheltenham,Glebe - Forest Lodge,14
Eastwood - Denistone,Glebe - Forest Lodge,16
Gladesville - Huntleys Point,Glebe - Forest Lodge,33
Hunters Hill - Woolwich,Glebe - Forest Lodge,14
Macquarie Park - Marsfield,Glebe - Forest Lodge,13
North Ryde - East Ryde,Glebe - Forest Lodge,7
Ryde - Putney,Glebe - Forest Lodge,40
West Ryde - Meadowbank,Glebe - Forest Lodge,22
Badgerys Creek - Greendale,Glebe - Forest Lodge,6
Cobbitty - Leppington,Glebe - Forest Lodge,3
Green Valley - Cecil Hills,Glebe - Forest Lodge,16
Hoxton Park - Horningsea Park,Glebe - Forest Lodge,4
Bonnyrigg Heights - Bonnyrigg,Glebe - Forest Lodge,5
Bossley Park - Abbotsbury,Glebe - Forest Lodge,10
Cabramatta - Lansvale,Glebe - Forest Lodge,10
Cabramatta West - Mount Pritchard,Glebe - Forest Lodge,3
Canley Vale - Canley Heights,Glebe - Forest Lodge,12
Edensor Park,Glebe - Forest Lodge,4
Fairfield,Glebe - Forest Lodge,11
Fairfield - West,Glebe - Forest Lodge,3
Greenfield Park - Prairiewood,Glebe - Forest Lodge,3
Smithfield - Wetherill Park,Glebe - Forest Lodge,3
Casula,Glebe - Forest Lodge,7
Chipping Norton - Moorebank,Glebe - Forest Lodge,13
Holsworthy - Wattle Grove,Glebe - Forest Lodge,14
Liverpool - Warwick Farm,Glebe - Forest Lodge,6
Prestons - Lurnea,Glebe - Forest Lodge,4
Caringbah - Lilli Pilli,Glebe - Forest Lodge,19
Cronulla - Kurnell - Bundeena,Glebe - Forest Lodge,35
Gymea - Grays Point,Glebe - Forest Lodge,11
Miranda - Yowie Bay,Glebe - Forest Lodge,13
Sylvania - Taren Point,Glebe - Forest Lodge,15
Engadine - Loftus,Glebe - Forest Lodge,16
Heathcote - Waterfall,Glebe - Forest Lodge,4
Illawong - Alfords Point,Glebe - Forest Lodge,6
Menai - Lucas Heights - Woronora,Glebe - Forest Lodge,13
Oyster Bay - Como - Jannali,Glebe - Forest Lodge,16
Sutherland - Kirrawee,Glebe - Forest Lodge,20
No Usual Address (NSW),Glebe - Forest Lodge,6
Goulburn,Newtown - Camperdown - Darlington,4
Goulburn Region,Newtown - Camperdown - Darlington,3
Avoca Beach - Copacabana,Newtown - Camperdown - Darlington,5
Box Head - MacMasters Beach,Newtown - Camperdown - Darlington,6
Calga - Kulnura,Newtown - Camperdown - Darlington,3
Gosford - Springfield,Newtown - Camperdown - Darlington,13
Niagara Park - Lisarow,Newtown - Camperdown - Darlington,3
Point Clare - Koolewong,Newtown - Camperdown - Darlington,7
Saratoga - Davistown,Newtown - Camperdown - Darlington,3
Terrigal - North Avoca,Newtown - Camperdown - Darlington,3
Umina - Booker Bay - Patonga,Newtown - Camperdown - Darlington,13
Wamberal - Forresters Beach,Newtown - Camperdown - Darlington,3
Woy Woy - Blackwall,Newtown - Camperdown - Darlington,10
Wyoming,Newtown - Camperdown - Darlington,7
Bateau Bay - Killarney Vale,Newtown - Camperdown - Darlington,3
Budgewoi - Buff Point - Halekulani,Newtown - Camperdown - Darlington,3
Gorokan - Kanwal - Charmhaven,Newtown - Camperdown - Darlington,4
Jilliby - Yarramalong,Newtown - Camperdown - Darlington,3
Ourimbah - Fountaindale,Newtown - Camperdown - Darlington,3
The Entrance,Newtown - Camperdown - Darlington,5
Tuggerah - Kangy Angy,Newtown - Camperdown - Darlington,3
Wyong,Newtown - Camperdown - Darlington,6
Bathurst - East,Newtown - Camperdown - Darlington,3
Orange - North,Newtown - Camperdown - Darlington,3
Broken Hill,Newtown - Camperdown - Darlington,3
Dubbo - East,Newtown - Camperdown - Darlington,3
Dubbo - West,Newtown - Camperdown - Darlington,3
Singleton,Newtown - Camperdown - Darlington,4
Singleton Region,Newtown - Camperdown - Darlington,3
Maitland - East,Newtown - Camperdown - Darlington,6
Nelson Bay Peninsula,Newtown - Camperdown - Darlington,7
Muswellbrook,Newtown - Camperdown - Darlington,3
Berkeley - Warrawong - Windang,Newtown - Camperdown - Darlington,3
Dapto - Avondale,Newtown - Camperdown - Darlington,5
Horsley - Kembla Grange,Newtown - Camperdown - Darlington,3
Unanderra - Mount Kembla,Newtown - Camperdown - Darlington,8
Kiama,Newtown - Camperdown - Darlington,3
Kiama Downs - Minnamurra,Newtown - Camperdown - Darlington,3
Kiama Hinterland - Gerringong,Newtown - Camperdown - Darlington,3
Shellharbour - Oak Flats,Newtown - Camperdown - Darlington,3
Balgownie - Fairy Meadow,Newtown - Camperdown - Darlington,11
Corrimal - Tarrawanna - Bellambi,Newtown - Camperdown - Darlington,3
Figtree - Keiraville,Newtown - Camperdown - Darlington,9
Helensburgh,Newtown - Camperdown - Darlington,22
Thirroul - Austinmer - Coalcliff,Newtown - Camperdown - Darlington,34
Wollongong,Newtown - Camperdown - Darlington,15
Woonona - Bulli - Russell Vale,Newtown - Camperdown - Darlington,15
Swansea - Caves Beach,Newtown - Camperdown - Darlington,3
Valentine - Eleebana,Newtown - Camperdown - Darlington,3
Morisset - Cooranbong,Newtown - Camperdown - Darlington,3
Hamilton - Broadmeadow,Newtown - Camperdown - Darlington,4
Newcastle - Cooks Hill,Newtown - Camperdown - Darlington,4
Wickham - Carrington - Tighes Hill,Newtown - Camperdown - Darlington,4
Byron Bay,Newtown - Camperdown - Darlington,3
Bowral,Newtown - Camperdown - Darlington,8
Hill Top - Colo Vale,Newtown - Camperdown - Darlington,4
Mittagong,Newtown - Camperdown - Darlington,3
Moss Vale - Berrima,Newtown - Camperdown - Darlington,4
Robertson - Fitzroy Falls,Newtown - Camperdown - Darlington,4
Southern Highlands,Newtown - Camperdown - Darlington,5
Baulkham Hills (East),Newtown - Camperdown - Darlington,24
Baulkham Hills (West) - Bella Vista,Newtown - Camperdown - Darlington,24
Castle Hill,Newtown - Camperdown - Darlington,30
Cherrybrook,Newtown - Camperdown - Darlington,32
Glenhaven,Newtown - Camperdown - Darlington,7
Kellyville,Newtown - Camperdown - Darlington,10
West Pennant Hills,Newtown - Camperdown - Darlington,28
Dural - Kenthurst - Wisemans Ferry,Newtown - Camperdown - Darlington,16
Galston - Laughtondale,Newtown - Camperdown - Darlington,4
Kurrajong Heights - Ebenezer,Newtown - Camperdown - Darlington,12
Rouse Hill - Beaumont Hills,Newtown - Camperdown - Darlington,8
Blacktown (East) - Kings Park,Newtown - Camperdown - Darlington,24
Blacktown (North) - Marayong,Newtown - Camperdown - Darlington,26
Blacktown (South),Newtown - Camperdown - Darlington,24
Doonside - Woodcroft,Newtown - Camperdown - Darlington,23
Lalor Park - Kings Langley,Newtown - Camperdown - Darlington,13
Seven Hills - Toongabbie,Newtown - Camperdown - Darlington,27
Glenwood,Newtown - Camperdown - Darlington,16
Parklea - Kellyville Ridge,Newtown - Camperdown - Darlington,27
Quakers Hill - Acacia Gardens,Newtown - Camperdown - Darlington,25
Riverstone - Marsden Park,Newtown - Camperdown - Darlington,4
Bidwill - Hebersham - Emerton,Newtown - Camperdown - Darlington,5
Glendenning Dean Park,Newtown - Camperdown - Darlington,5
Hassall Grove - Plumpton,Newtown - Camperdown - Darlington,14
Lethbridge Park - Tregear,Newtown - Camperdown - Darlington,5
Mount Druitt - Whalan,Newtown - Camperdown - Darlington,12
Rooty Hill - Minchinbury,Newtown - Camperdown - Darlington,26
Botany,Newtown - Camperdown - Darlington,33
Mascot - Eastlakes,Newtown - Camperdown - Darlington,86
Pagewood - Hillsdale - Daceyville,Newtown - Camperdown - Darlington,40
Marrickville,Newtown - Camperdown - Darlington,523
Petersham - Stanmore,Newtown - Camperdown - Darlington,637
Sydenham - Tempe - St Peters,Newtown - Camperdown - Darlington,169
Darlinghurst,Newtown - Camperdown - Darlington,73
Erskineville - Alexandria,Newtown - Camperdown - Darlington,372
Glebe - Forest Lodge,Newtown - Camperdown - Darlington,572
Newtown - Camperdown - Darlington,Newtown - Camperdown - Darlington,2159
Potts Point - Woolloomooloo,Newtown - Camperdown - Darlington,111
Pyrmont - Ultimo,Newtown - Camperdown - Darlington,136
Redfern - Chippendale,Newtown - Camperdown - Darlington,277
Surry Hills,Newtown - Camperdown - Darlington,155
Sydney - Haymarket - The Rocks,Newtown - Camperdown - Darlington,115
Waterloo - Beaconsfield,Newtown - Camperdown - Darlington,147
Bondi - Tamarama - Bronte,Newtown - Camperdown - Darlington,104
Bondi Beach - North Bondi,Newtown - Camperdown - Darlington,103
Bondi Junction - Waverly,Newtown - Camperdown - Darlington,67
Double Bay - Bellevue Hill,Newtown - Camperdown - Darlington,118
Dover Heights,Newtown - Camperdown - Darlington,45
Paddington - Moore Park,Newtown - Camperdown - Darlington,98
Rose Bay - Vaucluse - Watsons Bay,Newtown - Camperdown - Darlington,47
Woollahra,Newtown - Camperdown - Darlington,51
Coogee - Clovelly,Newtown - Camperdown - Darlington,161
Kensington - Kingsford,Newtown - Camperdown - Darlington,132
Malabar - La Perouse - Chifley,Newtown - Camperdown - Darlington,45
Maroubra,Newtown - Camperdown - Darlington,115
Randwick,Newtown - Camperdown - Darlington,163
Bankstown,Newtown - Camperdown - Darlington,67
Bass Hill - Georges Hall,Newtown - Camperdown - Darlington,26
Condell Park,Newtown - Camperdown - Darlington,19
Greenacre - Mount Lewis,Newtown - Camperdown - Darlington,43
Padstow,Newtown - Camperdown - Darlington,40
Panania - Milperra - Picnic Point,Newtown - Camperdown - Darlington,51
Revesby,Newtown - Camperdown - Darlington,46
Yagoona - Birrong,Newtown - Camperdown - Darlington,39
Belmore - Belfield,Newtown - Camperdown - Darlington,87
Canterbury (South) - Campsie,Newtown - Camperdown - Darlington,155
Kingsgrove (North) - Earlwood,Newtown - Camperdown - Darlington,254
Lakemba - Wiley Park,Newtown - Camperdown - Darlington,83
Punchbowl,Newtown - Camperdown - Darlington,44
Roselands,Newtown - Camperdown - Darlington,56
Hurstville,Newtown - Camperdown - Darlington,80
Mortdale - Penshurst,Newtown - Camperdown - Darlington,93
Narwee - Beverly Hills,Newtown - Camperdown - Darlington,42
Oatley - Hurstville Grove,Newtown - Camperdown - Darlington,51
Peakhurst - Lugarno,Newtown - Camperdown - Darlington,40
Riverwood,Newtown - Camperdown - Darlington,22
South Hurstville - Blakehurst,Newtown - Camperdown - Darlington,80
Arncliffe - Bardwell Valley,Newtown - Camperdown - Darlington,98
Bexley,Newtown - Camperdown - Darlington,123
Kingsgrove (South) - Bardwell Park,Newtown - Camperdown - Darlington,64
Kogarah,Newtown - Camperdown - Darlington,41
Kogarah Bay - Carlton - Allawah,Newtown - Camperdown - Darlington,59
Monterey - Brighton-le-Sands - Kyeemagh,Newtown - Camperdown - Darlington,63
Rockdale - Banksia,Newtown - Camperdown - Darlington,94
Sans Souci - Ramsgate,Newtown - Camperdown - Darlington,65
Concord - Mortlake - Cabarita,Newtown - Camperdown - Darlington,116
Concord West - North Strathfield,Newtown - Camperdown - Darlington,95
Drummoyne - Rodd Point,Newtown - Camperdown - Darlington,139
Five Dock - Abbotsford,Newtown - Camperdown - Darlington,184
Balmain,Newtown - Camperdown - Darlington,158
Leichhardt - Annandale,Newtown - Camperdown - Darlington,566
Lilyfield - Rozelle,Newtown - Camperdown - Darlington,162
Ashfield,Newtown - Camperdown - Darlington,284
Burwood - Croydon,Newtown - Camperdown - Darlington,157
Canterbury (North) - Ashbury,Newtown - Camperdown - Darlington,136
Croydon Park - Enfield,Newtown - Camperdown - Darlington,141
Dulwich Hill - Lewisham,Newtown - Camperdown - Darlington,365
Haberfield - Summer Hill,Newtown - Camperdown - Darlington,191
Homebush,Newtown - Camperdown - Darlington,55
Strathfield,Newtown - Camperdown - Darlington,117
Chatswood (East) - Artarmon,Newtown - Camperdown - Darlington,85
Chatswood (West) - Lane Cove North,Newtown - Camperdown - Darlington,70
Lane Cove - Greenwich,Newtown - Camperdown - Darlington,100
St Leonards - Naremburn,Newtown - Camperdown - Darlington,33
Willoughby - Castle Cove - Northbridge,Newtown - Camperdown - Darlington,91
Asquith - Mount Colah,Newtown - Camperdown - Darlington,18
Berowra - Brooklyn - Cowan,Newtown - Camperdown - Darlington,23
Hornsby - Waitara,Newtown - Camperdown - Darlington,60
Normanhurst - Thornleigh - Westleigh,Newtown - Camperdown - Darlington,35
Gordon - Killara,Newtown - Camperdown - Darlington,66
Lindfield - Roseville,Newtown - Camperdown - Darlington,65
Pymble,Newtown - Camperdown - Darlington,49
St Ives,Newtown - Camperdown - Darlington,39
Turramurra,Newtown - Camperdown - Darlington,51
Wahroonga - Warrawee,Newtown - Camperdown - Darlington,31
Cremorne - Cammeray,Newtown - Camperdown - Darlington,71
Crows Nest - Waverton,Newtown - Camperdown - Darlington,86
Mosman,Newtown - Camperdown - Darlington,111
Neutral Bay - Kirribilli,Newtown - Camperdown - Darlington,80
North Sydney - Lavender Bay,Newtown - Camperdown - Darlington,55
Balgowlah - Clontarf - Seaforth,Newtown - Camperdown - Darlington,49
Manly - Fairlight,Newtown - Camperdown - Darlington,58
Avalon - Palm Beach,Newtown - Camperdown - Darlington,9
Bayview - Elanora Heights,Newtown - Camperdown - Darlington,15
Newport - Bilgola,Newtown - Camperdown - Darlington,21
Warriewood - Mona Vale,Newtown - Camperdown - Darlington,18
Beacon Hill - Narraweena,Newtown - Camperdown - Darlington,21
Cromer,Newtown - Camperdown - Darlington,11
Dee Why - North Curl Curl,Newtown - Camperdown - Darlington,23
Forestville - Killarney Heights,Newtown - Camperdown - Darlington,23
Frenchs Forest - Belrose,Newtown - Camperdown - Darlington,40
Freshwater - Brookvale,Newtown - Camperdown - Darlington,58
Manly Vale - Allambie Heights,Newtown - Camperdown - Darlington,24
Narrabeen - Collaroy,Newtown - Camperdown - Darlington,29
Camden - Ellis Lane,Newtown - Camperdown - Darlington,13
Elderslie - Harrington Park,Newtown - Camperdown - Darlington,14
Mount Annan - Currans Hill,Newtown - Camperdown - Darlington,26
Bradbury - Wedderburn,Newtown - Camperdown - Darlington,13
Campbelltown - Woodbine,Newtown - Camperdown - Darlington,10
Claymore - Eagle Vale - Raby,Newtown - Camperdown - Darlington,9
Ingleburn - Denham Court,Newtown - Camperdown - Darlington,16
Leumeah - Minto Heights,Newtown - Camperdown - Darlington,23
Macquarie Fields - Glenfield,Newtown - Camperdown - Darlington,30
Minto - St Andrews,Newtown - Camperdown - Darlington,18
Rosemeadow - Glen Alpine,Newtown - Camperdown - Darlington,15
Bargo,Newtown - Camperdown - Darlington,5
Picton - Tahmoor - Buxton,Newtown - Camperdown - Darlington,14
The Oaks - Oakdale,Newtown - Camperdown - Darlington,9
Blackheath - Megalong Valley,Newtown - Camperdown - Darlington,4
Blaxland - Warrimoo - Lapstone,Newtown - Camperdown - Darlington,34
Katoomba - Leura,Newtown - Camperdown - Darlington,20
Lawson - Hazelbrook - Linden,Newtown - Camperdown - Darlington,13
Springwood - Winmalee,Newtown - Camperdown - Darlington,32
Wentworth Falls,Newtown - Camperdown - Darlington,3
Cambridge Park,Newtown - Camperdown - Darlington,4
Castlereagh - Cranebrook,Newtown - Camperdown - Darlington,6
Emu Plains - Leonay,Newtown - Camperdown - Darlington,12
Glenmore Park - Regentville,Newtown - Camperdown - Darlington,9
Jamisontown - South Penrith,Newtown - Camperdown - Darlington,13
Kingswood - Werrington,Newtown - Camperdown - Darlington,20
Penrith,Newtown - Camperdown - Darlington,8
Warragamba - Silverdale,Newtown - Camperdown - Darlington,4
Windsor - Bligh Park,Newtown - Camperdown - Darlington,3
Yarramundi - Londonderry,Newtown - Camperdown - Darlington,4
Erskine Park,Newtown - Camperdown - Darlington,6
St Clair,Newtown - Camperdown - Darlington,17
